timestamp,host,host_ip,user,source_ip,event_id,scenario_type,priority_label,mitre_technique,evaluation_prediction,raw_anomaly_score
2026-05-10 08:11:00,DC01,192.168.79.131,FINANCE-PC01$,192.168.79.132,4624,normal_machine_auth,Low,Benign Activity,Low,-0.11493901119541133
2026-05-12 23:48:00,DC01,192.168.79.131,alice.finance,192.168.79.132,4625,single_failed_login,Low,Benign Authentication Noise,Low,-0.0501222256189332
2026-05-05 21:15:00,FINANCE-PC01,192.168.79.132,bob.finance,192.168.79.132,4688,normal_client_activity,Low,Benign Activity,Low,-0.005578369101923331
2026-05-27 03:43:00,IT-PC01,192.168.79.133,bob.finance,192.168.79.133,4624,normal_logon,Low,Benign Activity,Low,-0.07233631282310127
2026-05-02 11:05:00,DC01,192.168.79.131,charlie.it,192.168.79.133,4625,single_failed_login,Low,Benign Authentication Noise,Low,-0.07952431438867225
2026-05-25 05:14:00,DC01,192.168.79.131,bob.finance,192.168.79.133,4624,odd_hour_normal_login,Low,Benign After-Hours Activity,Low,-0.059960661201332144
2026-05-11 05:59:00,DC01,192.168.79.131,bob.finance,192.168.79.134,4625,targeted_brute_force,High,T1110.001 - Password Guessing,High,0.03506566622130669
2026-05-28 04:52:00,FINANCE-PC01,192.168.79.132,Administrator,192.168.79.133,4624,benign_remote_admin,Low,Benign Administrative Activity,Low,-0.1059582985144889
2026-05-23 12:03:00,IT-PC01,192.168.79.133,charlie.it,192.168.79.133,4624,normal_logon,Low,Benign Activity,Low,-0.07916313269702469
2026-05-05 02:58:00,FINANCE-PC01,192.168.79.132,bob.finance,192.168.79.132,4624,normal_logon,Low,Benign Activity,Low,-0.16196098622735366
2026-05-07 07:51:00,DC01,192.168.79.131,DC01$,192.168.79.132,4624,normal_machine_auth,Low,Benign Activity,Low,-0.08311472468938197
2026-05-16 20:58:00,IT-PC01,192.168.79.133,alice.finance,192.168.79.133,4624,normal_logon,Low,Benign Activity,Low,-0.05580884630377625
